iter	Logloss
0	0.604667036
1	0.5641069124
2	0.5423511696
3	0.5243737582
4	0.4992799053
5	0.4769099096
6	0.4407906826
7	0.420663234
8	0.406262921
9	0.3912661161
10	0.3847173602
11	0.3565999945
12	0.3364701131
13	0.3141208124
14	0.2995371551
15	0.2891360931
16	0.2790120887
17	0.2669831814
18	0.255607627
19	0.2419806473
20	0.2314700734
21	0.2161726833
22	0.2084960294
23	0.2069418409
24	0.2012135226
25	0.1962787657
26	0.192320512
27	0.1861594845
28	0.1835202991
29	0.1768008859
30	0.1719659708
31	0.1669429969
32	0.1610908602
33	0.1563052607
34	0.1506696984
35	0.1468771106
36	0.1435149431
37	0.1354632029
38	0.1321117816
39	0.1273518521
40	0.121067752
41	0.1180515737
42	0.1148997975
43	0.1121782002
44	0.1083015829
45	0.1070148826
46	0.106450402
47	0.1046547902
48	0.1021719618
49	0.1006034411
50	0.09861238794
51	0.09646071196
52	0.0956044942
53	0.09379952499
54	0.0928772387
55	0.09148563676
56	0.09057082555
57	0.08981092815
58	0.08880339184
59	0.08756106121
60	0.08664377437
61	0.08512878894
62	0.08415344211
63	0.08268922488
64	0.08197302391
65	0.08119858918
66	0.08012852426
67	0.07974329203
68	0.0789940267
69	0.07803675073
70	0.07721909366
71	0.07672210235
72	0.07615437405
73	0.07577595978
74	0.07503848165
75	0.07459525409
76	0.0741175233
77	0.07271412168
78	0.07235821509
79	0.07209933041
80	0.07195454884
81	0.07167147357
82	0.07158703037
83	0.07123493818
84	0.07106687349
85	0.07047911873
86	0.07010240102
87	0.06957277268
88	0.06924003767
89	0.06883423676
90	0.06822313394
91	0.06806307816
92	0.06763730368
93	0.06723963384
94	0.0668397527
95	0.06656301179
96	0.06614857617
97	0.06582784536
98	0.06550085775
99	0.06531884206
100	0.06501898559
101	0.06458136706
102	0.06427679055
103	0.06421213814
104	0.06389853175
105	0.0636060497
106	0.06345261423
107	0.06334778166
108	0.06306522002
109	0.06290743131
110	0.06281800156
111	0.06255603633
112	0.06226889914
113	0.06212847653
114	0.06179154241
115	0.06159806928
116	0.06153483735
117	0.06142646875
118	0.06125102882
119	0.06112778027
120	0.06086083488
121	0.06084348956
122	0.06077856695
123	0.06064365687
124	0.06052794787
125	0.06041668012
126	0.06022961571
127	0.06014598652
128	0.0601098187
129	0.0600451015
130	0.05988609472
131	0.05969525887
132	0.0594648383
133	0.05935239238
134	0.05926617286
135	0.05918354747
136	0.05911472457
137	0.05903461093
138	0.05882615682
139	0.05871277368
140	0.05864652734
141	0.05857253742
142	0.05844173385
143	0.05834654653
144	0.05823236461
145	0.05815243752
146	0.05810818362
147	0.05804961299
148	0.05803537707
149	0.05799070095
150	0.05794774923
151	0.05794678806
152	0.05776470172
153	0.05773517749
154	0.05759860819
155	0.05752277046
156	0.0574228512
157	0.05737847194
158	0.05734068597
159	0.05730949967
160	0.05725708085
161	0.05718789152
162	0.05701098318
163	0.05696988989
164	0.05692991773
165	0.05685217489
166	0.05683382037
167	0.05677828612
168	0.05673841483
169	0.05666345486
170	0.05664275223
171	0.05659289029
172	0.05656177016
173	0.05651493595
174	0.05644327362
175	0.05637216591
176	0.05628683006
177	0.05616251142
178	0.05606851601
179	0.05603721473
180	0.05601473312
181	0.05588943676
182	0.05583471022
183	0.05576835149
184	0.05570228785
185	0.05561848101
186	0.05559309222
187	0.05551296341
188	0.05547712559
189	0.05538965114
190	0.05533640221
191	0.05528051528
192	0.05525387272
193	0.05523337631
194	0.05520877963
195	0.05513720942
196	0.05513513153
197	0.05510569807
198	0.05504941951
199	0.05500778544
